,,,,,,,,,,,,,,
"Progress of PNG D, CNG and Pipeline (inch-km) in the Country - March  2025",,,,,,,,,,,,,,
,,,,,,Actual Progress vis-à-vis MWP Targets as on 31.3.2025,,,,,,,,
S.No,GA ID,Geographical Area/ CGD Networks,State/ Union Territory,Authorized CGD Entity,Date of Authorization,PNG Domestic Connections (Nos.),,,CNG Stations (Nos.),,, Pipeline (inch-Km),,
,,,,,, Total MWP Target,Pro-Rata Target,Achievement, Total MWP Target,Pro-Rata Target,Achievement, Total MWP Target,Pro-Rata Target,Achievement
107,9.5,Karaikal & Nagapattinam Districts,Puducherry (UT) & Tamil Nadu,Torrent Gas Limited,28-Sep-18,166644,58325,486,27,14,8,495,322,185
108,9.51,Puducherry District,Puducherry (UT),East Coast Natural Gas Private,25-09-2018,275000,55000,0,130,39,2,2100,840,120
,,,,Limited,(New start date,,,,,,,,,
,,,,,01.04.2022),,,,,,,,,
,,,,,,,,,,,,,,
"Progress of PNG D, CNG and Pipeline (inch-km) in the Country - March  2025",,,,,,,,,,,,,,
,,,,,,Actual Progress vis-à-vis MWP Targets as on 31.3.2025,,,,,,,,
S.No,GA ID,Geographical Area/ CGD Networks,State/ Union Territory,Authorized CGD Entity,Date of Authorization,PNG Domestic Connections (Nos.),,,CNG Stations (Nos.),,, Pipeline (inch-Km),,
,,,,,, Total MWP Target,Pro-Rata Target,Achievement, Total MWP Target,Pro-Rata Target,Achievement, Total MWP Target,Pro-Rata Target,Achievement
109,9.52,"SAS Nagar District (EAAA), Patiala & Sangrur Districts",Punjab,Torrent Gas Limited,26-Sep-18,520200,182070,11118,54,28,32,2610,1697,999
110,9.53,"Ludhiana District (Except area already authorized), Barnala & Moga Districts",Punjab,Think Gas Ludhiana Private Limited,26-Oct-18,451317,146678,16483,47,23,26,1486,929,1454
111,9.54,"Jalandhar District (EAAA), Kapurthala & SBS Nagar Districts",Punjab,Think Gas Ludhiana Private Limited,26-Oct-18,386147,125498,15586,51,25,20,1029,643,824
112,9.55,"Barmer, Jaisalmer & Jodhpur Districts",Rajasthan,AGP CGD India Private Limited,28-Sep-18,551111,192889,51002,80,28,41,NA,NA,298
113,9.56,Alwar (Other than Bhiwadi) & Jaipur,Rajasthan,Torrent Gas Jaipur Private Limited,27-08-2018,1320000,264000,9691,132,40,61,12030,4812,2474
,,Districts,,,(New start date,,,,,,,,,
,,,,,01.04.2022),,,,,,,,,
114,9.57,"Kota District (EAAA), Baran &",Rajasthan,Torrent Gas Limited,13-Sep-18,60300,21105,4167,27,14,17,3393,2205,645
,,Chittorgarh (Only Rawatbhata Taluka) Districts,,,,,,,,,,,,
115,9.58,Bhilwara & Bundi Districts,Rajasthan,Adani Total Gas Limited,14-Sep-18,270056,94520,1908,25,13,20,659,428,458
116,9.59,Chittorgarh (Other than Rawatbhata Taluka) & Udaipur Districts,Rajasthan,Adani Total Gas Limited,13-Sep-18,400583,140204,17073,70,37,40,1568,1019,1711
117,9.6,Dholpur District,Rajasthan,Dholpur CGD Private Limited,28-Sep-18,18000,6300,1805,14,7,8,412,268,130
118,9.61,Kanchipuram District,Tamil Nadu,AGP CGD India Private Limited,26-09-2018,1151111,230222,5033,111,33,47,668,267,860
,,,,,(New start date,,,,,,,,,
,,,,,01.04.2022),,,,,,,,,
119,9.62,Chennai & Tiruvallur Districts,Tamil Nadu,Torrent Gas Chennai Private Limited,07-09-2018,3300000,660000,2383,222,67,76,6666,2666,1947
,,,,,(New start date,,,,,,,,,
,,,,,01.04.2020),,,,,,,,,
120,9.63,Coimbatore District,Tamil Nadu,Indian Oil Corporation Limited,12-09-2018,912783,182557,38006,273,82,42,2500,1000,1252
,,,,,(New start date,,,,,,,,,
,,,,,01.04.2022),,,,,,,,,
121,9.64,"Cuddalore, Nagapattinam & Tiruvarur",Tamil Nadu,Adani Total Gas Limited,28-09-2018,300089,60018,0,40,12,23,839,336,104
,,Districts,,,(New start date,,,,,,,,,
,,,,,01.04.2022),,,,,,,,,
122,9.65,Ramanathapuram District,Tamil Nadu,AGP CGD India Private Limited,26-Sep-18,41311,14459,4832,11,6,8,251,163,93
123,9.66,Salem District,Tamil Nadu,Indian Oil Corporation Limited,12-09-2018,337062,67412,4206,158,47,26,1368,547,311
,,,,,(New start date,,,,,,,,,
,,,,,01.04.2022),,,,,,,,,
124,9.67,Tiruppur District,Tamil Nadu,Adani Total Gas Limited,13-09-2018,375005,75001,605,75,23,34,829,332,380
,,,,,(New start date,,,,,,,,,
,,,,,01.04.2022),,,,,,,,,
125,9.68,Bhadradri Kothagudem & Khamman,Telangana,Megha City Gas Distribution  Private Limited,20-Sep-18,99999,35000,1792,12,6,12,800,520,425
,,Districts,,,,,,,,,,,,
126,9.69,"Jagtial, Peddapalli, Karimnagar & Rajanna Sircilla Districts",Telangana,Indian Oil Corporation Limited,12-Sep-18,5731,1289,818,5,2,9,520,234,301
,,,,,(New date 01-Jan2020),,,,,,,,,
,,,,,,,,,,,,,,
"Progress of PNG D, CNG and Pipeline (inch-km) in the Country - March  2025",,,,,,,,,,,,,,
